"",,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat
058,Finch Lake,4.6,9910,6/11,FULL,1,2,FULL,FULL,FULL,FULL
058GS,Finch Lake Group/Stock,4.6,9910,6/11,FULL,FULL,FULL,1,FULL,FULL,FULL
117,Flatiron,2.3,9840,7/04,NA,NA,NA,NA,NA,NA,NA
075,Foot Bridge,6.5,9290,6/15,NA,NA,NA,NA,NA,NA,NA
039,Glacier Gorge (Waste Bag),3.8,10000,6/19,FULL,1,FULL,FULL,FULL,FULL,FULL
042,Goblins Forest,1.2,10120,6/07,3,4,2,1,3,1,1
022,Golden Banner,2.5,9600,5/24,FULL,1,FULL,1,2,FULL,FULL
089,Granite Falls,5.4,9840,6/18,1,2,1,2,1,FULL,FULL
064G,Gray Jay Group,4.9,9650,6/11,1,1,1,1,1,1,FULL
082B,Green Mountain,1.8,9550,6/13,1,1,1,FULL,1,FULL,FULL
073,Grouseberry,6.2,9250,6/12,1,1,1,1,1,1,1
115,Hague Creek,1.6,9720,7/04,1,1,1,1,1,1,1
115GS,Hague Creek Group/Stock,1.6,9720,7/04,1,1,1,1,1,1,1
004,Halfway (WF),5.6,9340,6/02,1,1,FULL,1,1,FULL,FULL
006,Happily Lost (WF),6.2,9560,6/04,1,1,1,FULL,FULL,FULL,FULL
093,Haynach,7.2,10760,7/07,1,FULL,1,1,1,1,FULL
093IS,Haynach Llama,7.2,10760,7/07,1,1,1,1,1,1,1
106,Hitchens Gulch,5.8,10480,7/07,NA,NA,NA,NA,NA,NA,NA
045,Hole-in-the-Wall,1.9,9240,5/31,FULL,1,1,1,1,1,FULL
048,Hunters Creek,3.3,9760,6/14,1,1,1,1,FULL,FULL,FULL
099,Jackstraw,4,10760,7/03,1,1,1,1,1,1,1
081,July,9.7,10760,7/14,2,2,FULL,2,2,2,2
081G,July Group,9.7,10760,7/14,1,1,1,FULL,FULL,1,1
002,Kettle Tarn,4.9,9200,5/28,NA,NA,NA,NA,NA,NA,NA
119IS,Koenig Stock,5.2,10680,7/13,1,1,1,1,1,1,1
068,Lake Verna,6.9,10280,7/09,1,1,1,FULL,1,1,1
112,LaPoudre Pass,6.7,10200,6/24,1,1,1,1,1,1,1
023,Lawn Lake,6.2,10990,6/26,NA,NA,NA,NA,NA,NA,NA
023IS,Lawn Lake Stock,6.2,10990,6/26,NA,NA,NA,NA,NA,NA,NA
024,Little Rock Lake,6,10280,7/01,1,1,1,1,1,1,1
082,Lodgepole,1.7,9200,5/29,NA,NA,NA,NA,NA,NA,NA
007,Lost Falls (WF),6.7,9600,6/11,NA,NA,NA,NA,NA,NA,NA
012,Lost Lake,9.7,10710,7/06,4,4,4,4,3,3,2
011,Lost Meadow,8.4,10420,6/17,NA,NA,NA,NA,NA,NA,NA
011GS,Lost Meadow Group/Stock,8.4,10420,6/17,1,1,1,1,1,FULL,FULL
062,Lower East Inlet,2.3,8640,5/23,FULL,FULL,FULL,1,FULL,FULL,FULL
